date,massif,risque1,evolurisque1,loc1,altitude,risque2,evolurisque2,loc2,risque_maxi,commentaire,url_telechargement,00_temps,00_mer_de_nuages,00_limite_pluie_neige,00_isotherme_0,00_isotherme_moins_10,00_altitude_vent_1,00_altitude_vent_2,00_direction_vent_altitude_1,00_vitesse_vent_altitude_1,00_direction_vent_altitude_2,00_vitesse_vent_altitude_2,06_temps,06_mer_de_nuages,06_limite_pluie_neige,06_isotherme_0,06_isotherme_moins_10,06_altitude_vent_1,06_altitude_vent_2,06_direction_vent_altitude_1,06_vitesse_vent_altitude_1,06_direction_vent_altitude_2,06_vitesse_vent_altitude_2,12_temps,12_mer_de_nuages,12_limite_pluie_neige,12_isotherme_0,12_isotherme_moins_10,12_altitude_vent_1,12_altitude_vent_2,12_direction_vent_altitude_1,12_vitesse_vent_altitude_1,12_direction_vent_altitude_2,12_vitesse_vent_altitude_2,precipitation_neige_veille_altitude,precipitation_neige_veille_epaisseur
2023-02-16,MERCANTOUR,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230216144942.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15,MERCANTOUR,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230215143607.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-14,MERCANTOUR,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230214143416.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-12,MERCANTOUR,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230212145048.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-11,MERCANTOUR,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230211145128.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-10,MERCANTOUR,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230210145034.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-09,MERCANTOUR,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230209145321.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-08,MERCANTOUR,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230208145035.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-06,MERCANTOUR,1,,<2200,2200,2,,>2200,2,Au-dessus de 2200 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230206145538.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-04,MERCANTOUR,1,,<2300,2300,2,,>2300,2,Au-dessus de 2300 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230204143821.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-03,MERCANTOUR,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230203145044.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-02,MERCANTOUR,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230202145130.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-01,MERCANTOUR,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230201155551.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-30,MERCANTOUR,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230130150506.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-29,MERCANTOUR,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230129151248.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-28,MERCANTOUR,2,,<2200,2200,3,,>2200,3,Au-dessus de 2200 m : Risque marqué. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230128150812.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-27,MERCANTOUR,2,,<2200,2200,3,,>2200,3,Au-dessus de 2200 m : Risque marqué. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230127145131.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-25,MERCANTOUR,2,,S,,3,,N,3,Risque marqué au Nord- Risque limité au Sud.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.MERCANTOUR.20230125151203.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
